Province_State,Country_Region,GDP_region,TRUE POPULATION,pct_in_largest_city, TFR , Avg_age ,latitude,longitude,abs_latitude,temperature,humidity,Personality_pdi,Personality_idv,Personality_mas,Personality_uai,Personality_ltowvs,Personality_assertive,personality_perform,personality_agreeableness,murder,High_rises,max_high_rises,AIR_CITIES,AIR_AVG,continent_gdp_pc,continent_happiness,continent_generosity,continent_corruption,continent_Life_expectancy
,Italy, 7.5 ," 60,461,826 ",4.382%,1.3,47,43.00,12.00,43.00,13.3,75.9,50,76,70,75,61,4.12,3.66,46.52,-0.4,196,196,96,14.9,10.69,6.90,0.04,0.53,72.86
Hubei,China, 6.2 ," 59,020,000 ",14.117%,1.7,38,30.98,112.27,30.98,15.2,66.1,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
,Spain, 7.1 ," 46,754,778 ",6.213%,1.3,45,40.00,-4.00,40.00,16.0,72.4,57,51,42,86,48,4.39,4,45.26,-0.5,2889,1142,67,9.1,10.69,6.90,0.04,0.53,72.86
,Germany, 8.2 ," 83,783,942 ",3.926%,1.6,46,51.00,9.00,51.00,7.9,81.9,35,67,66,65,83,3,0,45.08,0.2,624,326,142,13.0,10.69,6.90,0.04,0.53,72.86
New York,US, 7.0 ," 19,453,561 ",42.024%,1.8,38,42.17,-74.95,42.17,1.8,83.2,40,91,62,46,26,4.5,4.45,50,1.1,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,France, 7.2 ," 36,470,499 ",5.794%,1.9,42,48.00,2.30,48.00,26.1,77.4,68,71,43,86,63,4.44,4.43,46.64,0.3,698,698,128,10.5,10.69,6.90,0.04,0.53,72.86
,Iran, 6.1 ," 83,992,949 ",9.195%,2.2,32,35.00,51.00,35.00,10.7,42.1,58,41,43,59,14,3,0,#DIV/0!,0.9,0,0,17,21.9,9.71,5.23,-0.08,0.76,65.31
,United Kingdom, 7.9 ," 66,933,514 ",11.046%,1.8,40,51.00,0.00,51.00,15.4,78.9,35,89,66,35,51,3,0,47.31,0.2,2375,1761,80,10.2,10.69,6.90,0.04,0.53,72.86
,Switzerland, 6.6 ," 8,654,622 ",3.852%,1.5,43,46.82,8.23,46.82,1.4,79.2,34,68,70,58,74,4.58,5.04,47.69,-0.6,0,0,11,11.1,10.69,6.90,0.04,0.53,72.86
,"Korea, South", 7.3 ," 51,269,185 ",21.754%,1.1,44,36.00,128.00,36.00,9.3,65.8,60,18,39,85,100,4.36,4.53,44.11,-0.4,61479,16759,83,23.8,10.32,5.71,-0.05,0.70,71.09
New Jersey,US, 6.3 ," 8,882,190 ",3.120%,1.8,38,40.30,-74.52,40.30,9.0,65.9,40,91,62,46,26,4.5,4.45,50,1.2,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,Netherlands, 6.4 ," 12,877,846 ",5.587%,1.7,43,52.00,4.90,52.00,21.9,78.8,38,80,14,53,67,4.46,4.46,46.08,-0.6,908,359,26,11.7,10.69,6.90,0.04,0.53,72.86
,Austria, 6.0 ," 9,006,398 ",17.133%,1.5,43,47.52,14.55,47.52,6.0,82.2,11,55,79,70,60,4.59,4.47,45.9,-0.4,102,102,29,13.5,10.69,6.90,0.04,0.53,72.86
,Belgium, 6.2 ," 11,589,623 ",8.273%,1.7,42,50.83,4.00,50.83,9.5,78.6,65,75,54,94,82,3,0,45.07,0.7,208,208,44,12.7,10.69,6.90,0.04,0.53,72.86
,Turkey, 6.8 ," 84,339,067 ",10.928%,2.1,32,38.96,35.24,38.96,6.1,71.3,66,37,45,85,46,4.42,3.82,47.89,1.5,5436,3400,20,23.3,9.71,5.23,-0.08,0.76,65.31
California,US, 7.8 ," 39,512,223 ",12.129%,1.8,38,36.12,-119.68,36.12,19.8,60.2,40,91,62,46,26,4.5,4.45,50,1.5,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,Portugal, 5.3 ," 10,196,709 ",5.473%,1.3,46,39.40,-8.22,39.40,17.6,79.3,63,27,31,104,28,3.75,3.65,49.52,-0.4,0,0,16,7.9,10.69,6.90,0.04,0.53,72.86
,Norway, 6.0 ," 5,421,241 ",14.524%,1.7,40,60.47,8.47,60.47,-2.8,86.8,31,69,8,50,35,3,0,#DIV/0!,-0.7,0,0,19,7.8,10.69,6.90,0.04,0.53,72.86
Michigan,US, 6.4 ," 9,986,857 ",7.147%,1.8,38,43.33,-84.54,43.33,1.8,80.0,40,91,62,46,26,4.5,4.45,50,1.7,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Washington,US, 6.1 ," 7,614,893 ",7.993%,1.8,38,47.40,-121.49,47.40,2.4,88.8,40,91,62,46,26,4.5,4.45,50,1.1,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,Brazil, 7.5 ," 212,559,417 ",4.732%,1.7,33,-14.24,-51.93,14.24,29.5,87.3,69,38,49,76,44,4.25,4.11,45.86,3.4,13754,6601,11,16.1,9.30,5.98,-0.07,0.80,66.72
Massachusetts,US, 6.0 ," 6,949,503 ",8.887%,1.8,38,42.23,-71.53,42.23,6.8,66.3,40,91,62,46,26,4.5,4.45,50,0.7,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,Sweden, 6.3 ," 10,099,265 ",12.269%,1.9,41,63.00,16.00,63.00,0.0,87.3,31,71,5,29,53,3.41,3.67,50,0.1,0,0,10,7.0,10.69,6.90,0.04,0.53,72.86
,Israel, 5.8 ," 8,655,535 ",7.911%,3,30,31.00,35.00,31.00,17.1,67.2,13,54,47,81,38,4.19,4.03,49.44,0.3,1619,439,27,19.8,9.71,5.23,-0.08,0.76,65.31
Illinois,US, 6.6 ," 12,671,821 ",21.272%,1.8,38,40.35,-88.99,40.35,4.4,79.7,40,91,62,46,26,4.5,4.45,50,1.9,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Florida,US, 7.1 ," 21,477,737 ",4.100%,1.8,38,27.77,-81.69,27.77,24.6,69.4,40,91,62,46,26,4.5,4.45,50,1.6,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Louisiana,US, 5.6 ," 4,648,794 ",7.396%,1.8,38,31.17,-91.87,31.17,18.2,82.9,40,91,62,46,26,4.5,4.45,50,2.4,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Pennsylvania,US, 6.6 ," 12,801,989 ",11.920%,1.8,38,40.59,-77.21,40.59,7.6,73.8,40,91,62,46,26,4.5,4.45,50,1.8,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,Czechia, 5.3 ," 11,000,000 ",10.675%,1.6,41,49.82,15.47,49.82,7.7,74.0,57,58,57,74,70,3,0,#DIV/0!,-0.5,0,0,0,#DIV/0!,9.98,5.88,-0.10,0.85,68.15
,Malaysia, 5.7 ," 32,365,999 ",4.476%,2,30,2.50,112.50,2.50,30.7,90.0,104,26,50,36,41,3.77,4.16,48.55,0.7,2901,1985,3,17.8,9.37,5.38,0.16,0.70,64.71
,Ireland, 5.6 ," 4,937,786 ",20.116%,1.8,38,53.14,-7.69,53.14,7.9,85.6,28,70,68,35,24,3.93,4.3,#DIV/0!,-0.2,0,0,1,9.5,10.69,6.90,0.04,0.53,72.86
,Denmark, 5.4 ," 3,880,391 ",28.247%,1.8,42,63.29,-13.34,63.29,-7.7,84.8,18,74,16,23,35,4.04,4.4,#DIV/0!,0.0,0,0,0,#DIV/0!,10.69,6.90,0.04,0.53,72.86
Quebec,Canada, 7.4 ," 37,742,154 ",0.453%,1.5,41,52.94,-73.55,52.94,-14.0,92.2,39,80,52,48,36,3,0,49.14,0.5,5017,2224,83,7.5,10.71,7.17,0.16,0.43,72.18
Georgia,US, 6.4 ," 10,617,423 ",3.956%,1.8,38,33.04,-83.64,33.04,16.4,77.2,40,91,62,46,26,4.5,4.45,50,1.8,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Texas,US, 7.4 ," 28,995,881 ",7.241%,1.8,38,31.05,-97.56,31.05,17.3,76.7,40,91,62,46,26,4.5,4.45,50,1.5,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,Chile, 5.6 ," 19,116,201 ",26.336%,1.7,35,-35.68,-71.54,35.68,33.7,45.3,63,23,28,86,31,3,0,47.02,1.2,1344,1344,33,19.4,9.30,5.98,-0.07,0.80,66.72
,Luxembourg, 3.8 ," 625,978 ",95.850%,1.5,40,49.82,6.13,49.82,6.9,85.8,40,60,50,70,64,3,#N/A,#DIV/0!,-0.3,0,0,3,10.3,10.69,6.90,0.04,0.53,72.86
,Ecuador, 4.7 ," 17,643,054 ",12.451%,2.4,28,-1.83,-78.18,1.83,22.4,85.5,78,8,63,67,#NULL!,3.98,4.06,#DIV/0!,1.8,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
,Japan, 8.5 ," 126,476,461 ",6.347%,1.4,48,36.00,138.00,36.00,6.6,68.1,54,46,95,92,88,3.69,4.22,42.21,-1.3,5297,3366,529,11.8,10.32,5.71,-0.05,0.70,71.09
Guangdong,China, 6.9 ," 111,690,000 ",11.809%,1.7,38,23.34,113.42,23.34,22.9,66.6,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
Colorado,US, 5.8 ," 5,758,736 ",10.422%,1.8,38,39.06,-105.31,39.06,2.6,67.6,40,91,62,46,26,4.5,4.45,50,1.3,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
New South Wales,Australia, 6.0 ," 7,500,000 ",20.000%,1.8,38,-33.87,151.21,33.87,25.1,73.7,38,90,61,51,21,3,0,47.51,-0.1,2585,872,74,6.5,10.71,7.17,0.16,0.43,72.18
,Poland, 6.2 ," 37,846,611 ",4.253%,1.4,42,51.92,19.15,51.92,6.6,73.3,68,60,64,93,38,4.11,3.96,46.74,-0.4,0,0,37,22.4,9.98,5.88,-0.10,0.85,68.15
,Pakistan, 5.9 ," 220,892,340 ",4.650%,3.6,23,30.38,69.35,30.38,18.4,42.3,55,14,50,70,50,3,0,#DIV/0!,1.5,653,467,4,79.4,8.56,4.48,0.04,0.79,62.45
Tennessee,US, 6.0 ," 6,833,174 ",9.664%,1.8,38,35.75,-86.69,35.75,11.7,80.2,40,91,62,46,26,4.5,4.45,50,2.0,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,Romania, 5.3 ," 19,237,691 ",10.278%,1.6,43,45.94,24.97,45.94,8.1,73.9,90,30,42,90,52,3,0,45.31,0.2,0,0,22,16.8,9.98,5.88,-0.10,0.85,68.15
Connecticut,US, 5.4 ," 3,565,287 ",4.045%,1.8,38,41.60,-72.76,41.60,7.3,64.5,40,91,62,46,26,4.5,4.45,50,0.8,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Henan,China, 6.7 ," 95,590,000 ",5.501%,1.7,38,33.88,113.61,33.88,14.7,57.2,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
Zhejiang,China, 6.2 ," 56,570,000 ",13.388%,1.7,38,29.18,120.09,29.18,15.1,81.0,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
,South Africa, 5.8 ," 59,308,690 ",4.529%,2.4,28,-30.56,22.94,30.56,29.7,41.2,49,65,63,49,34,3,0,49.97,3.5,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
Ohio,US, 6.5 ," 11,689,100 ",7.521%,1.8,38,40.39,-82.76,40.39,5.1,80.3,40,91,62,46,26,4.5,4.45,50,1.6,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,Thailand, 6.0 ," 69,799,978 ",9.331%,1.5,40,15.00,101.00,15.00,35.6,48.0,64,20,34,64,32,3.58,3.84,49,1.2,2140,1926,24,25.5,9.37,5.38,0.16,0.70,64.71
,Saudi Arabia, 6.6 ," 34,813,871 ",10.420%,2.3,32,24.00,45.00,24.00,24.0,25.0,#NULL!,#NULL!,#NULL!,#NULL!,36,3,#N/A,#DIV/0!,0.4,0,0,0,#DIV/0!,9.71,5.23,-0.08,0.76,65.31
,Indonesia, 6.9 ," 273,523,615 ",3.952%,2.3,30,-0.79,113.92,0.79,33.6,80.7,78,14,46,48,62,3.7,4.14,46.38,-0.7,991,991,6,28.7,9.37,5.38,0.16,0.70,64.71
,Finland, 5.5 ," 5,540,720 ",10.372%,1.5,43,64.00,26.00,64.00,-0.4,83.7,33,63,26,59,38,4.05,4.02,49.46,0.4,61,61,17,6.1,10.69,6.90,0.04,0.53,72.86
,Russia, 7.2 ," 145,934,462 ",5.740%,1.8,40,60.00,90.00,60.00,-7.7,94.7,93,39,36,95,81,3.86,3.53,39.05,2.4,48954,12374,4,14.1,9.21,5.36,-0.04,0.75,64.73
Hunan,China, 6.4 ," 68,600,000 ",6.616%,1.7,38,27.61,111.71,27.61,14.3,81.5,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
Ontario,Canada, 6.5 ," 15,000,000 ",20.000%,1.5,41,51.25,-85.32,51.25,-7.2,92.4,39,80,52,48,36,3,0,49.14,0.5,5017,2224,83,7.5,10.71,7.17,0.16,0.43,72.18
Anhui,China, 6.3 ," 62,550,000 ",6.711%,1.7,38,31.83,117.23,31.83,14.2,70.5,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
Indiana,US, 6.0 ," 6,732,219 ",12.187%,1.8,38,39.85,-86.26,39.85,5.9,75.7,40,91,62,46,26,4.5,4.45,50,1.9,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,Greece, 5.3 ," 10,423,054 ",7.267%,1.3,46,39.07,21.82,39.07,14.4,67.7,60,35,57,112,45,4.55,3.34,52.42,-0.3,65,65,0,#DIV/0!,10.69,6.90,0.04,0.53,72.86
Jiangxi,China, 6.0 ," 46,220,000 ",7.702%,1.7,38,27.61,115.72,27.61,15.8,83.9,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
Wisconsin,US, 5.8 ," 5,822,434 ",10.216%,1.8,38,44.27,-89.62,44.27,-0.7,86.4,40,91,62,46,26,4.5,4.45,50,1.1,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
,Iceland, 3.1 ," 341,243 ",20.000%,1.8,37,64.96,-19.02,64.96,-6.7,88.0,#NULL!,#NULL!,#NULL!,#NULL!,28,3,#N/A,#DIV/0!,-1.2,0,0,4,4.2,10.69,6.90,0.04,0.53,72.86
,India, 7.8 ," 1,380,004,385 ",0.880%,2.2,28,21.00,78.00,21.00,32.0,32.2,77,48,56,40,51,3.7,4.11,50.43,1.2,12852,2934,58,69.5,8.56,4.48,0.04,0.79,62.45
North Carolina,US, 6.4 ," 10,488,084 ",6.974%,1.8,38,35.63,-79.81,35.63,13.2,76.6,40,91,62,46,26,4.5,4.45,50,1.8,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
